question_en,question_ne,response_en,response_ne,intent
Why are my period cramps worse than usual?,Mero period ko cramps kina pahila bhanda dherai chha?,"Severe cramps may be caused by hormonal imbalances, stress, or medical conditions like endometriosis. Consider consulting a doctor if the pain is intense.","Dherai severe cramps hormone imbalance, stress, ya endometriosis jasto medical condition le huna sakcha. Dukhai dherai intense bhaye doctor sanga paramarsha garnuhos.",cramps_question
What is the best pain relief for cramps?,Cramps ko lagi best pain relief ke ho?,Over-the-counter painkillers like ibuprofen work well.,Ibuprofen jasto over-the-counter painkillers ramro huncha.,cramps_question
What can I do for period cramps?,Period ko pet dukhai kasari thik garne?,"You can use a hot water bag, drink warm water, or take a pain reliever.","Garam paani khanu, hot water bag use garnu, ya painkiller lina saknu huncha.",cramps_question
How can I relieve period cramps?,Mero period ko cramps kasari kam garna sakchhu?,"You can relieve period cramps by applying heat to your abdomen, doing light exercise, drinking warm water, or taking pain relievers if necessary.","Tapaaile cramps kam garna pet ma heating pad lagauna, halko exercise garna, taato paani khana, ya avashyak parne bela ma dukhai kam garne ausadhi khana saknu huncha.",cramps_question
Does drinking water reduce period cramps?,Pani khayepachi period ko cramps kam huncha?,"Yes, drinking more water can reduce bloating, which may help relieve cramps by improving hydration and muscle relaxation.","Ho, dherai paani khayepachi bloating kam hunchha, jasle hydration ra muscle relaxation improve garera cramps kam garna sakcha.",cramps_question
Are cramps normal during periods?,Period ko bela cramps hunu normal ho?,"Yes, mild to moderate cramps are normal during periods, but severe cramps may require medical attention.","Ho, halko dekhi madhyam cramps period ko bela normal ho, tara dherai severe cramps bhaye ta doctor sanga consult garna parcha.",cramps_question
Can painkillers help with period cramps?,Dukhai kam garne ausadhi le period ko cramps kam garna sakcha?,"Yes, over-the-counter painkillers like ibuprofen or paracetamol can relieve period cramps. But consult a doctor if pain persists.","Ho, ibuprofen ya paracetamol jasto over-the-counter ausadhi le period ko cramps kam garna sakcha. Tara, dukhai lamo samay samma rahane ho bhane doctor sanga paramarsha garnuhos.",cramps_question
Why am I having cramps even though my period is not here?,Mero period aayeko chhaina tara pani malai cramps kina hunchha?,"Cramps outside your period can be caused by ovulation, hormonal changes, stress, or digestive issues. If the pain is severe or frequent, it might be good to consult a doctor.","Period nabhayepani cramps ovulation, hormonal parivartan, tanav, wa pacho sambandhi samasyale huna sakchha. Dukhai dherai cha ya barambar aayo bhane, doctor sanga paramarsha garna ramro huncha.",cramps_question
I have cramps but my period just ended. Is this normal?,"Mero period bharkhar sakiyo, tara malai cramps cha. Yo normal ho?","Cramps after a period may be caused by uterine contractions or leftover hormonal effects. If it persists, consult a doctor.","Period sakepachi ko cramps bachhaeko hormonal asar ya uterus ko contraction lehuna sakchha. Yo lambiyera gayo bhane, doctor sanga paramarsha garna parne hunchha.",cramps_question
I have severe cramps but no bleeding. Is it a sign of a problem?,Ragat aayeko chhaina tara dherai cramps cha. Yo samasya ko sanket ho?,"Severe cramps without bleeding could be linked to ovarian cysts, endometriosis, or other medical conditions. It's best to consult a gynecologist.","Ragat aayeko chhaina tara dherai cramps huda ovarian cysts, endometriosis, wa aru samasya sambandhit huna sakchha. Gynecologist sanga paramarsha garna utkrishta huncha.",cramps_question
Do cramps mean I'm about to get my period?,Cramps aayepachi period auna lako ho bhanne ho?,"Yes, cramps can be an early sign that your period is about to start. It's caused by the uterus preparing to shed its lining.","Ho, cramps tapaaiko period aune sanket huna sakchha. Yo uterus le aafno wall ko layer fyalna laagne taiyari gardaa hunchha.",cramps_question
Can I get cramps from eating too much junk food?,Dherai junk food khaye pachhi cramps hun sakchha?,"Yes, junk food can cause bloating and indigestion, leading to cramps. Eating fiber-rich food and staying hydrated can help.","Ho, junk food le pet fulne ra pachna garo parne bhayekale cramps hun sakchha. Fiber bhako khana khanu ra pani dherai piunuhos.",cramps_question
I get cramps after exercising. Is this normal?,Exercise garepachi cramps aauchha. Yo normal ho?,Cramps after exercise are often caused by dehydration or muscle fatigue. Drink water and stretch properly before and after exercising.,Exercise garepachi cramps aunu dehydration wa muscle thakai le huna sakchha. Exercise agadi ra pachhi thik tarikale tankine yoga wa exercise garera ra dherai paani piune garnda upayogi hunchha.,cramps_question
Why do I have cramps on one side of my lower abdomen?,Mero pet ko euta side ma matra cramps kina aauchha?,"Cramps on one side could be due to ovulation (mittelschmerz) or an ovarian cyst. If the pain becomes severe, seek medical advice."," Ek paksha ma cramps aunu ovulation (mittelschmerz) ya ovarian cyst le huna sakchha. Dukhai dherai bhayo bhane, doctor sanga consult garnuhos.",cramps_question
Can irregular periods cause cramps at unexpected times?,Aniyamit period le achanak cramps auna sakchha?,"Yes, irregular periods can cause cramps at unexpected times due to hormonal fluctuations. Tracking your cycle can help you understand the pattern."," Ho, aniyamit period le hormonal utar-chadhav ko karan akasmaat cramps auna sakchha. Aafno cycle track garnu bhayo bhane, pattern bujhna madat garna sakchha.",cramps_question
 I have cramps and nausea but no period. Why?,"Cramps cha ra man kharab cha, tara period aayeko chhaina. Kina?","Cramps with nausea could be a sign of ovulation, pregnancy, or digestive issues. If you suspect pregnancy, take a test to be sure."," Cramps ra man kharab hunu ovulation, pregnancy, ya pachilo sambandhi samasya ko sanket huna sakchha. Pregnancy ko asanka bhaye test garera nischit hunu upayogi hunchha.",cramps_question
I have sharp cramps after intercourse. Is it normal?, Intercourse pachhi dherai cramps aauchha. Yo normal ho?,"Mild cramps after intercourse can be normal, but sharp or intense pain could indicate an underlying condition like ovarian cysts or endometriosis. Consult a doctor if it persists."," Intercourse pachhi halka cramps normal ho, tara dherai dukhai bhaye ovarian cysts ya endometriosis jasta samasya ko sanket huna sakchha. Yo jari rahe bhane doctor sanga paramarsha garna upayogi hunchha.",cramps_question
 Can dehydration cause cramps?,Dehydration le cramps huna sakchha?,"Yes, dehydration can cause muscle cramps, including in the lower abdomen. Drink plenty of water to stay hydrated.","Ho, dehydration le muscle cramps huna sakchha, jasma lower abdomen pani samel hunchha. Ramro sanga hydrated huda ra dherai paani piune garda upayogi hunchha.",cramps_question
What is PCOS?,PCOS bhane ko ke ho?,"PCOS (Polycystic Ovary Syndrome) is a hormonal disorder where ovaries produce excess male hormones, leading to irregular periods, weight gain, and cyst formation.","PCOS (Polycystic Ovary Syndrome) ek hormonal disorder ho, jasma ovary le male hormone adhik matra ma utpadan garcha, jasle irregular periods, wajan badhne, ra cyst banna jasto samasya uthisakcha.",pcos_question
What are the symptoms of PCOS?,PCOS ko lakshan haru ke ke ho?,"Symptoms of PCOS include irregular periods, weight gain, acne, excess facial hair, and difficulty getting pregnant","PCOS ko lakshan haru irregular periods, wajan badhne, muhans (acne), anuhar ma adhik kapaal, ra garbha dharan garna garho huna sakchha.",pcos_question
Can PCOS be cured?,PCOS thik huna sakcha?,"PCOS cannot be fully cured, but it can be managed through lifestyle changes, medications, and hormone therapy.","PCOS pura thik garna ta sakidaina, tara lifestyle change, ausadhi, ra hormone therapy le yaslai niyantran ma rakhna sakinchha.",pcos_question
How is PCOS diagnosed?,PCOS kasari diagnose garincha?,"PCOS is diagnosed through medical history, physical examination, ultrasound, and hormone blood tests.","PCOS, medical history, sharirik parikshan, ultrasound, ra hormone blood test bata diagnose garincha.",pcos_question
Can I get pregnant if I have PCOS?,Mero PCOS bhaye pani ma pregnant huna sakchu?,"Yes, you can still get pregnant with PCOS, but it might require treatment or lifestyle changes to support ovulation.","Ho, PCOS bhaye pani tapaaile garbha dharan garna saknuhuncha, tara ovulation support garna ausadhi ya lifestyle change ko avashyakta huna sakchha.",pcos_question
What is PCOD?,PCOD bhane ko ke ho?,"PCOD (Polycystic Ovarian Disease) is a condition where ovaries release immature eggs, leading to cyst formation. It can cause irregular periods, acne, and hair loss.","PCOD (Polycystic Ovarian Disease) ma ovaries le pura pakeko anda chhodaudaina, jasle cyst banna sakcha. Yasle irregular periods, acne, ra kapaal jharne jasto samasya lyauchha.",pcod_question
What's the difference between PCOS and PCOD?,Pcos ra pcod ma antar k cha?,"PCOS is a hormonal disorder caused by excess androgens, while PCOD is a condition where ovaries release immature eggs. PCOS is more severe than PCOD","PCOS ek hormonal disorder ho, jun androgens (male hormone) ko adhikta le huncha, jaba ki PCOD ma ovaries le paka naako anda release garcha. PCOS, PCOD bhanda dherai severe huncha.",pcod_question
What are the symptoms of PCOD?,PCOD ko lakshan haru ke ke ho?,"Symptoms of PCOD include irregular periods, abdominal pain, weight gain, and hormonal imbalance.","PCOD ko lakshan haru irregular periods, pet dukhai, wajan badhne, ra hormone imbalance huna sakchha.",pcod_question
Is PCOD a serious problem?,PCOD serious problem ho?,"PCOD is not as serious as PCOS and can often be managed with lifestyle changes, but it may affect fertility if not managed properly.","PCOD, PCOS jasto serious ta hoina, tara yo lifestyle change le niyantran ma rakhna sakchha. Thik tarikale niyantran nagare fertility ma asar parna sakchha.",pcod_question
What is ovulation?,Ovulation bhaneko ke ho?,"Ovulation is the release of an egg from the ovary, usually occurring in the middle of your menstrual cycle.","Ovulation bhaneko andebij ko ovary bata release hunu ho, jasma menstrual cycle ko madhya ma garincha.",ovulation_question
Can the app predict my ovulation date?,App le mero ovulation date predict garna sakcha?,"Yes, the app uses your cycle history to estimate your ovulation date.","Ho, app le timro cycle history ko adhar ma ovulation date ko estimation garcha.",ovulation_question
How accurate are ovulation predictions in the app?,App ma ovulation predictions kati accurate huncha?,The accuracy depends on how consistently you log your cycle data and symptoms.,Ovulation prediction ko accuracy timile cycle data ani symptoms kasto consistency le log garchau bhandaparda huncha.,ovulation_question
Can I track ovulation symptoms in the app?,App ma ovulation symptoms track garna milcha?,"Yes, you can log symptoms like cervical mucus changes, ovulation pain, or basal body temperature.","Ho, timile cervical mucus changes, ovulation pain, ani basal body temperature jasta symptoms log garna sakchau.",ovulation_question
What are signs of ovulation I should log?,Ovulation ko ke sanket haru log garna parcha?,"Signs include cervical mucus changes, ovulation pain, and increased basal body temperature.","Cervical mucus ma pariwartan, ovulation pain, ani basal body temperature badhnu jasta sanket log garna parcha.",ovulation_question
Can the app identify my fertile window?,App le mero fertile window identify garna sakcha?,"Yes, the app estimates your fertile window based on ovulation predictions and cycle data.","Ho, app le ovulation predictions ani cycle data ko adhar ma fertile window estimate garcha.",ovulation_question
How can I use the app to plan pregnancy?,Pregnancy plan garna app kasari upyog garna sakchhu?,The app helps identify your most fertile days for better pregnancy planning.,App le timro sabai bhanda fertile din haru identify garera pregnancy planning ma madat garcha.,ovulation_question
What should I log to improve ovulation tracking?,Ovulation tracking improve garna ke log garna parcha?,"Log your cycle length, cervical mucus, ovulation pain, and basal body temperature.","Cycle length, cervical mucus, ovulation pain, ani basal body temperature log garna parcha.",ovulation_question
Does the app notify me when I am ovulating?,Ovulation ko bela app le malai notify garcha?,"Yes, the app can send reminders or notifications for predicted ovulation days.","Ho, app le predicted ovulation din ko lagi reminders athwa notifications dincha.",ovulation_question
How does the app calculate ovulation?,App le ovulation kasari calculate garcha?,The app uses your menstrual cycle length and patterns to estimate ovulation.,App le menstrual cycle ko length ani pattern use garera ovulation calculate garcha.,ovulation_question
Can irregular cycles affect ovulation tracking in the app?,Irregular cycles le app ma ovulation tracking ma asar garcha?,"Yes, irregular cycles can make tracking less accurate, but logging detailed data helps.","Ho, irregular cycles le tracking accurate hunu ghatdincha, tara detailed data log garera madat hunchha.",ovulation_question
"What is the fertile window, and how does the app show it?","Fertile window bhaneko ke ho, ani app le kasari dekhauncha?","The fertile window is the time when you're most likely to conceive, shown by the app based on ovulation predictions.","Fertile window bhaneko garbh dharan garna sakne sabai bhanda sambhavana din haru ho, jun app le ovulation prediction ko adhar ma dekhauncha.",ovulation_question
Can I track ovulation if I have PCOS?,PCOS bhaeko huda ni ovulation track garna milcha?,"Yes, though it may be less predictable, the app can help track ovulation symptoms over time.","Ho, yasle accurate predict nagarna sakla, tara app le symptoms over time track garna madat garcha.",ovulation_question
How does ovulation affect my menstrual cycle?,Ovulation le menstrual cycle ma kasto asar garcha?,Ovulation determines your cycle's length and timing of the fertile window.,Ovulation le cycle ko length ani fertile window ko timing determine garcha.,ovulation_question
Can the app predict anovulatory cycles?,App le anovulatory cycles predict garna sakcha?,"The app may flag irregular patterns that suggest anovulatory cycles, but medical advice is needed for confirmation.","App le irregular patterns flag garera anovulatory cycles ko sanket dincha, tara confirmation ko lagi doctor ko sallaha chahincha.",ovulation_question
What is the role of basal body temperature in ovulation tracking?,Ovulation tracking ma basal body temperature ko role kasto huncha?,"A rise in basal body temperature often indicates ovulation, which the app can help you track.","Basal body temperature ko badhai ovulation ko sanket ho, jun app le track garna madat garcha.",ovulation_question
Can stress affect ovulation predictions in the app?,Stress le app ma ovulation predictions ma asar garcha?,"Yes, stress can delay ovulation, impacting the app's predictions.","Ho, stress le ovulation late garna sakcha, jasle app ko predictions ma asar purauchha.",ovulation_question
"What is ovulation pain, and can I track it in the app?","Ovulation pain bhaneko ke ho, ani app ma yo track garna milcha?","Ovulation pain is a mild ache in the lower abdomen during ovulation, and it can be logged in the app.","Ovulation pain bhaneko ovulation ko belama talo pet ma halka dukhai ho, ani yo app ma log garna milcha.",ovulation_question
Can irregular sleep patterns affect ovulation tracking?,Irregular sleep pattern huda ni app le ovulation track garna sakcha?,"Yes, but tracking basal body temperature might be less reliable with irregular sleep.","Ho, tara basal body temperature irregular sleep pattern ma kam reliable huna sakcha.",ovulation_question
Can I be pregnant if I miss a period?,Mero period miss huda pregnant bhako huna sakchhu?,"Yes, missing a period can be one of the first signs of pregnancy.","Ho, period miss bhayeko ma pregnancy ko sign huna sakcha.",pregnancy_question
How soon can I know if I'm pregnant?,Mero pregnancy ko bare ma kati chhito thaha pauna sakchhu?,You can take a pregnancy test as soon as you miss your period or after a few days if you suspect pregnancy.,Timi period miss garne saath ya kehi din pachhi pregnancy test garera thaha pauna sakchau.,pregnancy_question
What are the first signs of pregnancy?,Pregnancy ko pahilo sanket k ho?,"The first signs of pregnancy can include a missed period, nausea, and breast tenderness.","Pregnancy ko pahilo sanket haru period miss garne, nausea, ra breast tenderness samet huna sakchha.",pregnancy_question
How do I know if I'm pregnant without taking a test?,Test nagari  kasari thaha paune ki ma pregnant chu?,"You can look for signs like nausea, fatigue, and missed periods to suspect pregnancy.","Nausea, fatigue, ra period miss garne jasta sanket haru herera pregnancy ko sanket lagauna sakchau.",pregnancy_question
Can I still get my period if I'm pregnant?, Pregnant bhayepachi pani period aauna sakcha?,"It is uncommon, but some women may experience light bleeding or spotting during early pregnancy.","Yo uncommon ho, tara kehi mahilale pregnancy ko suru ko dauraan light bleeding ya spotting experience garna sakchhan.",pregnancy_question
How long after a missed period should I take a pregnancy test?,Period miss gare pachhi kati din pachhi pregnancy test garne?,You should wait at least a week after a missed period before taking a pregnancy test for more accurate results.,Period miss gare pachhi accurate result pauna ek hapta jati parkhina parcha.,pregnancy_question
What should I do if I think I am pregnant?,Ma pregnant chu jasto lagcha bhane ke garne?,"If you suspect pregnancy, take a test and consult a doctor for confirmation.","Pregnancy ko shak bhayeko bhaye, test garera doctor sanga parikshan garne.",pregnancy_question
Can stress affect a pregnancy test result?,Stress le pregnancy test ko result affect garna sakcha?,"No, stress does not affect the results of a pregnancy test.",Stress le pregnancy test ko result ma kunai asar gardaina.,pregnancy_question
Can I get pregnant right after my period?,Mero period ko turuntai pachhi ma pregnant huna sakchhu?,"It's unlikely but possible, as ovulation can occur soon after your period ends.","Yo khassai hudaina tara kunai kunai case ma huna sakcha kina bhane ovulation period ko turunta pachhi huna sakchha.",pregnancy_question
How accurate are home pregnancy tests?,Home pregnancy tests kati ko accurate hunchha?,"Home pregnancy tests are generally accurate if used correctly, around 99% effective.",Home pregnancy tests sahi tarikale use garema lagbhag 99% accurate hunchha.,pregnancy_question
Can I get pregnant while breastfeeding?,Breastfeeding garirako ble pregnant huna sakcha?,"Yes, it is possible to get pregnant while breastfeeding, though it's less likely.","Ho, breastfeeding garda pregnant huna sakchha, tara yo less possible cha.",pregnancy_question
What are the chances of getting pregnant on your period?,Period ko bela pregnant hune chances kati cha?,"The chances are low but not impossible, as sperm can survive in the body for several days.","Period ko dauraan pregnant hune chances kam cha tara sambhav cha kina bhane sperm kai din samma body ma survive garna sakcha.",pregnancy_question
Can pregnancy cause mood swings?,Pregnancy le mood swings garauna sakcha?,"Yes, hormonal changes during pregnancy can cause mood swings.","Ho, pregnancy ko dauraan hormonal changes le mood swings garauna sakcha.",pregnancy_question
Why do I feel tired during pregnancy?,Pregnancy ko bela kina thakai lagcha?,Fatigue is common in early pregnancy due to hormonal changes and the body adjusting to pregnancy.,Pregnancy ko suru ko dauraan hormonal changes ra body ko pregnancy ko adaptation le thakaunu common ho.,pregnancy_question
Can pregnancy affect my periods?,Pregnancy le mero period affect garna sakcha?,"Pregnancy causes periods to stop, but some women may experience spotting.","Pregnancy ko dauraan periods stop hunchha, tara kunai mahila haruko spotting huna sakchha.",pregnancy_question
Can I be pregnant if I have a period?,Ma period bhaye pani pregnant huna sakchhu?,"It is very unlikely, but light bleeding may occur during pregnancy which can be mistaken for a period.","Yo ekdamai sambhavit chaina, tara pregnancy ko dauraan light bleeding huna sakchha, jo period jasto lagna sakchha.",pregnancy_question
How can I confirm pregnancy?,Pregnancy confirm kasari garne?,The best way to confirm pregnancy is to take a home pregnancy test and visit a doctor.,Pregnancy confirm garne sabai bhanda ramro tarika bhaneko home pregnancy test garne ra doctor ko ma janey ho.,pregnancy_question
Can pregnancy cause nausea?,Pregnancy le nausea cause garna sakcha?,"Yes, nausea is a common early sign of pregnancy, especially in the first trimester.","Ho, nausea pregnancy ko suru ko dauraan common sign ho, khas gari pahilo trimester ma.",pregnancy_question
Can my diet affect my chances of pregnancy?,Mero diet le pregnancy garne chances ma asar garna sakcha?,"Yes, a balanced diet can help improve fertility and your chances of getting pregnant.","Ho, balanced diet le fertility improve garne ra pregnancy garna ko chances badhauna sakcha.",pregnancy_question
Can I get pregnant with irregular periods?,Irregular periods bhayepachi ma pregnant huna sakchhu?,"Yes, you can still get pregnant with irregular periods, but tracking ovulation can help increase your chances.","Ho, irregular periods bhayepachi pani pregnant huna sakinchha, tara ovulation track garera chances badhauna sakinchha.",pregnancy_question
Can I take medicine during pregnancy?,Pregnancy ko dauraan medicine lina milcha?,Always consult your doctor before taking any medication during pregnancy to ensure it's safe.,"Pregnancy ko dauraan medicine lina doctor sanga parikshan garera safe ho bhane matra lida thik huncha.",pregnancy_question
Can pregnancy make me feel more emotional?,Pregnancy le malaai dherai emotional feel garauna sakcha?,"Yes, pregnancy can cause increased emotional sensitivity due to hormonal changes.","Ho, pregnancy le hormonal changes ko karan emotional sensitivity badhauna sakcha.",pregnancy_question
How can I tell if I'm pregnant early?,Suru ma pregnant bhayeko ho bhane kasari thaha paune?,"You may notice early pregnancy signs like a missed period, nausea, or changes in your breasts.","Timile early pregnancy ko sanket haru jastai period miss garne, nausea, ya breasts ma changes dekhera thaha pauna sakchau.",pregnancy_question
What are the symptoms of early pregnancy?,Suru ko pregnancy ko symptoms k ho?,"Common symptoms include a missed period, nausea, fatigue, and changes in your breasts.","Common symptoms haru period miss garne, nausea, fatigue, ra breasts ma changes hunchha.",pregnancy_question
Why do I feel nauseous when pregnant?,Pregnancy ma malai kina nausea feel hunchha?,Nausea is caused by hormonal changes and is often referred to as morning sickness.,"Nausea hormonal changes le cause garne ho, ra yo aam torma morning sickness ko rupma janinchha.",pregnancy_question
Can pregnancy cause cramps?,Pregnancy le cramps cause garna sakcha?,"Yes, mild cramps can occur in early pregnancy due to changes in the uterus.","Ho, mild cramps pregnancy ko suru ko dauraan uterus ma changes hunele huna sakchha.",pregnancy_question
What is a balanced diet?,Balanced diet bhaneko k ho?,"A balanced diet includes carbohydrates, proteins, fats, vitamins, and minerals in the right proportions for good health.","Balanced diet bhaneko carbohydates, proteins, fats, minerals ra vitamins right amount  ma khanu ho",diet_intent
How many calories should I consume daily?,Maile din ma kati calories khaanu parchha?,"The number of calories you need depends on your age, gender, weight, height, and physical activity level."," Dainik calories ko aawashyakta umer, linga, shaaririk gatibidhi, ra swasthya lakshya anusar farak hunchha, tara madhyama aayuko byakti ko laagi 2000-2500 calories huncha.",diet_intent
